Brief Name,Client,Shortlisted Agency,Agency Skills,Agency Industries,Service Description,Agency Description,Agency services,Other Services,Vision,Industry Experience,Agency Locations,Brief Region,Status,Winning Agency,Number of Agencies Shortlisted Brief,Client_WA_Interaction,Project extension with same agency,Client selected agency themselves from marketplace,Right geography / time zone,Strong skill set match,Deep / relevant sector expertise,Good cultural fit,Right price level,Strong track record,Match Score,Lead_George Patten,Lead_Gideon Hyde,Lead_Hannah Fraser,Lead_Kate Walker,Lead_Paul Bowman,Lead_Peter Sayburn,Lead_Phil Kohler,Lead_Robin Scarborough,Sub Brief Taxonomy,Main Brief Taxonomy
Connected Car prop dev sprint,AXA,HACKMASTERS,"(Growth_&_Innovation_Strategy), (Product_Strategy), (Sustainability_Strategy), (Proposition_Design), (Software_Development)",(B2B),We help visionaries master the future.,We help visionaries master the future.,"(Research_&_Insight), (Proposition_Design), (Software_Development)","(Applied_Foresight), (Scenario_Planning), (Product_Planning_Strategy), (Product_Design), (Collective_Intelligence_Workshops), (Hackathons), (Transformation_Training), (Entrepreneur_Bootcamps), (R+D), (Industrial_Design), (Prototyping_Services.)",Master the Future Fast,"Defence,Cyber Security,Tech,Energy,Utilities,Automotive,FMCG,Consulting,Oil,Transport,Airlines","United Kingdom, United States",united kingdom,Brief Abandoned,unknown,3,1.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,0,1,0,0,(Proposition_Design),(Experience & Design)
Connected Car prop dev sprint,AXA,Loomery,"(Customer_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Product_Strategy), (Dashboarding_&_Measurement), (Data_Analytics), (MarTech_Consulting), (Qualitative_Research), (Segmentation), (Customer_Experience_Design), (Proposition_Design), (Service_Design), (UX_/_UI_Design), (AR_/_VR), (Artificial_Intelligence), (Blockchain_/_Web_3), (CRM_Implementation), (eCommerce_&_Marketplaces), (MarTech_Implementation), (Mobile_App_Development), (Software_Development), (Web_Development), (Change_Management), (Employee_Experience)","(Alcoholic_Beverages), (Automotive), (Education), (Entertainment), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Government), (Grocery), (Professional_Services), (Retail), (Scale-up), (Start-up)","Trusted product teams, when you need them.","Trusted product teams, when you need them.","(Research_&_Insight), (UX/UI_Design), (Software_Development)","(We_provide_end-to-to_support_for_identifying_digital_product_strategies), (delivering_great_products_and_building_digital_product_capabilities.)",,,United Kingdom,united kingdom,Brief Abandoned,unknown,3,1.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,0,1,0,0,(Proposition_Design),(Experience & Design)
Senior UI Designer,Aegon,Hedgehog Lab,,,"Digital products, mobile and web",#1 Mobile App & Web App Development Studio,"(UX/UI_Design), (Strategic_Design), (Software_Development)","(Mobile_App_Development), (Web_Development), (Digital_Product_Development)",To be the most respected digital product studio in the world ,"Financial Services,Insurance,Fintech,Energy,Retail,Telco,Utilities,Technology,Pensions","United Kingdom, United States",united kingdom,Archived,Hedgehog Lab,1,1.0,0,0.0,1,1,1,0,0,0,0.5581395348837208,0,1,0,0,0,0,0,0,(User_Experience/User_Interface_Design),(Experience & Design)
UX 2 month Resourcing,Aegon,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Started,Shoreditch Design Studio,1,1.0,0,0.0,1,1,1,1,0,1,0.7906976744186045,0,1,0,0,0,0,0,0,(User_Experience/User_Interface_Design),(Experience & Design)
EV Location Partner Campaign,Allego ,GH05T Ltd.,"(Data_Analytics), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production)","(Alcoholic_Beverages), (Beauty), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Grocery), (Healthcare), (Pharmaceutical), (Start-up)",We are a social media agency operating in the brand space.,We are a social media agency operating in the brand space.,"(Brand_Strategy), (Creative_&_Production), (Marketing_Planning), (Social_&_Content), (Media_Buying)",,,,"United Kingdom, United States",united kingdom,Archived,GH05T Ltd.,3,1.0,0,0.0,1,1,1,1,0,1,0.7906976744186045,0,1,0,0,0,0,0,0,(Social_Media),(Media_Public Relations & Events)
EV Location Partner Campaign,Allego ,Buddy Media,"(Brand_Strategy), (Creative_Production), (Digital_Campaign_Development), (Social_Media), (Digital_Performance_Marketing), (Experiential_Marketing), (Media_Buying), (Media_Strategy_&_Planning), (SEO_/_SEM), (Social_&_Influencer_Marketing)",(B2B),"A data-led, results-focused performance marketing agency.","A data-led, results-focused performance marketing agency.","(Marketing_Planning), (Digital_Marketing), (Social_&_Content)",(Experiential_&_Performance_Influencer),Pioneering social first marketing to deliver viral social activations,"Entertainment,Technology,Drinks,Hospitality,Financial Services",United Kingdom,united kingdom,Archived,GH05T Ltd.,3,1.0,0,0.0,1,1,1,0,0,1,0.6511627906976742,0,1,0,0,0,0,0,0,(Social_Media),(Media_Public Relations & Events)
EV Location Partner Campaign,Allego ,bbp,"(Customer_Strategy), (Digital_Strategy), (Growth_&_Innovation_Strategy), (Data_Visualisation), (Qualitative_Research), (Quantitative_Research), (Research_Tools), (Segmentation), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (Spatial_Design), (UX_/_UI_Design), (Web_Development), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production), (Corporate_Communications), (Digital_Performance_Marketing), (Events), (Experiential_Marketing), (Media_Strategy_&_Planning), (SEO_/_SEM), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Automotive), (Construction), (Education), (Financial_Services), (Government), (Healthcare), (Industry_Associations), (Manufacturing), (Not-for-Profit), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Utilities), (Scale-up), (Start-up)","We delivering marketing solutions that drive evolution, power sales and spark business growth","We delivering marketing solutions that drive evolution, power sales and spark business growth","(Research_&_Insight), (Brand_Strategy), (Proposition_Design)","(Value_proposition), (Audience_personas), (product_naming)",,,United Kingdom,united kingdom,Archived,GH05T Ltd.,3,1.0,0,0.0,1,0,0,1,0,1,0.3255813953488372,0,1,0,0,0,0,0,0,(Social_Media),(Media_Public Relations & Events)
Brand Refresh,Auspaynet,Cocogun,,,,We are a full-service independent creative agency.,"(Brand_Strategy), (Creative_&_Production)",,,,Australia,australia,Matching,Houston Group,3,1.0,0,0.0,1,0,0,0,1,1,0.3255813953488372,0,0,0,1,0,0,0,0,"(Brand_Strategy),(Brand_Design)","(Brand_Strategy),(Brand_Design)"
Brand Refresh,Auspaynet,Houston Group,"(Customer_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Brand_Design), (Graphic_Design), (Spatial_Design), (Brand_Strategy), (Employee_Experience), (EVP_/_Employer_Branding), (Purpose), (Values_&_Culture), (Purpose), (Values_&_Culture)",(B2B),We’re a strategic brand & design agency defining some of Australia’s most iconic brands.,We’re a strategic brand & design agency defining some of Australia’s most iconic brands.,"(Brand_Strategy), (Creative_&_Production)","(Naming), (Brand_Architecture), (Placemaking), (Environments), (Brand_Identity), (Brand_Management), (Communications), (Brand_Tone_of_Voice)",,,Australia,australia,Matching,Houston Group,3,1.0,0,0.0,1,1,1,1,1,1,0.9302325581395348,0,0,0,1,0,0,0,0,"(Brand_Strategy),(Brand_Design)","(Brand_Strategy),(Brand_Design)"
Brand Refresh,Auspaynet,Principals,,,,,,,,,,australia,Matching,Houston Group,3,1.0,0,0.0,1,1,1,0,1,1,0.7906976744186045,0,0,0,1,0,0,0,0,"(Brand_Strategy),(Brand_Design)","(Brand_Strategy),(Brand_Design)"
Pre-retirement App,Aviva,Apadmi,"(Experience_Strategy), (Growth_&_Innovation_Strategy), (Product_Strategy)",(B2B),Groundbreaking digital products that keep our customers moving forward,Groundbreaking digital products that keep our customers moving forward,"(UX/UI_Design), (Software_Development), (CRM_&_Loyalty)",(Managed_Services_&_Support),"Technology that moves hearts, minds and metrics","Leisure,Telecoms,Retail,Financial Services,Healthcare,Sport",United Kingdom,united kingdom,Brief Abandoned,unknown,3,1.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,1,0,0,0,(User_Experience/User_Interface_Design),(Experience & Design)
Pre-retirement App,Aviva,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Brief Abandoned,unknown,3,1.0,0,0.0,1,1,0,1,1,0,0.6046511627906976,0,0,0,0,1,0,0,0,(User_Experience/User_Interface_Design),(Experience & Design)
Pre-retirement App,Aviva,xDesign,"(Business_Strategy), (Customer_Strategy), (Data_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Sustainability_Strategy), (Customer_Data_Platforms), (Dashboarding_&_Measurement), (Data_Analytics), (Data_Visualisation), (Future_Trends), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (Spatial_Design), (UX_/_UI_Design), (AR_/_VR), (Artificial_Intelligence), (Blockchain_/_Web_3), (CMS_/_DXP), (CRM_Implementation), (eCommerce_&_Marketplaces), (MarTech_Implementation), (Mobile_App_Development), (Software_Development), (Web_Development), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Government), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Manufacturing), (Not-for-Profit), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Software Engineering Agency,We accelerate global brands digital product delivery.,(Software_Development),"(Software_Engineering), (Mobile_App_Development), (Web_App_Development)",,,"United Kingdom, United States",united kingdom,Brief Abandoned,unknown,3,1.0,0,0.0,0,1,0,0,0,1,0.3255813953488372,0,0,0,0,1,0,0,0,(User_Experience/User_Interface_Design),(Experience & Design)
Protection proposition exploration,Aviva,Good Innovation,"(Growth_&_Innovation_Strategy), (Sustainability_Strategy), (Future_Trends), (Qualitative_Research), (Quantitative_Research), (Customer_Experience_Design), (Service_Design), (UX_/_UI_Design), (Employee_Experience), (Purpose), (Values_&_Culture)","(Financial_Services), (Not-for-Profit), (Scale-up), (Start-up)",Strategy & Proposition,We are the Social Impact Innovation Consultancy,"(Research_&_Insight), (Proposition_Design), (Sustainability_Strategy), (B_Corp)",(Social_Impact_Innovation),"We help organisations that want to make a difference do it smarter, faster and with greater impact by finding innovative solutions to the world’s most difficult social problems","Non-Profit,Financial Services,Sustainability",United Kingdom,united kingdom,Contracting,UNPITCHD,2,2.0,0,1.0,0,0,0,0,0,0,0.0232558139534883,0,0,0,0,1,0,0,0,"(Proposition_Design), (Qualitative_Research)","(Experience & Design), (Data_Insight & Research)"
Protection proposition exploration,Aviva,UNPITCHD,"(Customer_Strategy), (Growth_&_Innovation_Strategy), (New_Venture_Strategy)",(B2B),We've reinvented the way innovation services are delivered to yield superior results,We've reinvented the way innovation services are delivered to yield superior results,"(Research_&_Insight), (Proposition_Design), (Strategic_Design)",,Reiventing the way innovation services are delivered to yield superior results,"Insurance,Automotive,Utilities,Telecoms",United Kingdom,united kingdom,Contracting,UNPITCHD,2,2.0,0,1.0,0,0,0,0,0,0,0.0232558139534883,0,0,0,0,1,0,0,0,"(Proposition_Design), (Qualitative_Research)","(Experience & Design), (Data_Insight & Research)"
DW Retained Squad,Aviva,Hedgehog Lab,,,"Digital products, mobile and web",#1 Mobile App & Web App Development Studio,"(UX/UI_Design), (Strategic_Design), (Software_Development)","(Mobile_App_Development), (Web_Development), (Digital_Product_Development)",To be the most respected digital product studio in the world ,"Financial Services,Insurance,Fintech,Energy,Retail,Telco,Utilities,Technology,Pensions","United Kingdom, United States",united kingdom,Archived,Hedgehog Lab,2,3.0,0,0.0,1,1,0,0,1,1,0.5581395348837208,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
DW Retained Squad,Aviva,xDesign,"(Business_Strategy), (Customer_Strategy), (Data_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Sustainability_Strategy), (Customer_Data_Platforms), (Dashboarding_&_Measurement), (Data_Analytics), (Data_Visualisation), (Future_Trends), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (Spatial_Design), (UX_/_UI_Design), (AR_/_VR), (Artificial_Intelligence), (Blockchain_/_Web_3), (CMS_/_DXP), (CRM_Implementation), (eCommerce_&_Marketplaces), (MarTech_Implementation), (Mobile_App_Development), (Software_Development), (Web_Development), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Government), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Manufacturing), (Not-for-Profit), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Software Engineering Agency,We accelerate global brands digital product delivery.,(Software_Development),"(Software_Engineering), (Mobile_App_Development), (Web_App_Development)",,,"United Kingdom, United States",united kingdom,Archived,Hedgehog Lab,2,3.0,0,0.0,1,1,0,0,1,1,0.5581395348837208,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
