Agency name,Skills,Industries
Study Hall,"Digital Strategy, Experience Strategy, Data Visualisation, Brand Design, Customer Experience Design, Graphic Design, Proposition Design, Service Design, Spatial Design, UX / UI Design, eCommerce & Marketplaces, Mobile App Development, Software Development, Web Development, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Events, Purpose,  Values & Culture","Administrative and Support Services, Alcoholic Beverages, Automotive, Beauty, Construction, Entertainment, Fashion, Financial Services, Food and Beverage Services, Gaming, Healthcare, Professional Services, Real Estate, Travel and Tourism, Utilities, Scale-up, Start-up"
The Curious Co,"Business Strategy, Customer Strategy, Growth & Innovation Strategy, Qualitative Research","Education, Financial Services, Healthcare, Industry Associations, Not-for-Profit, Professional Services, Technology,  Information and Media, Travel and Tourism"
The Nursery Research & Planning Ltd ,,
Ubiquitous,,
Flume,"Business Strategy, Customer Strategy, Qualitative Research, Quantitative Research, Segmentation, Brand Strategy","Alcoholic Beverages, Beauty, Construction, Financial Services, FMCG, Food and Beverage Services, Grocery, Healthcare, Hospitality, Not-for-Profit, Professional Services, QSR (Quick Service Restaurant), Retail"
MyMavins,,
2CV,"Qualitative Research, Quantitative Research, Research Tools, Segmentation","Automotive, Beauty, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Gaming, Government, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Utilities"
STUDIO BLUP,"Future Trends, Qualitative Research, Quantitative Research, Segmentation, Blockchain / Web 3, Brand Strategy, Copywriting, Creative Production, Digital Campaign Development, Social Media, Video Production, Events",B2B
Remesh,"Qualitative Research, Quantitative Research, Research Tools, Segmentation",B2B
Phase One Insights,"Customer Strategy, Experience Strategy, Growth & Innovation Strategy, Product Strategy, Qualitative Research, Quantitative Research, Segmentation, Customer Experience Design, Proposition Design, Service Design","Financial Services, Retail, Travel and Tourism"
Hippo Digital,"Data Analytics, Segmentation",B2B
infogr8 Ltd,"Data Strategy, Customer Data Platforms, Dashboarding & Measurement, Data Analytics, Data Visualisation","Education, Financial Services, Government, Manufacturing, Not-for-Profit, Pharmaceutical, Professional Services, Transportation,  Logistics,  Supply Chain and Storage"
AlignAlytics,"Business Strategy, CRM Strategy, Customer Strategy, Data Strategy, Digital Strategy, Growth & Innovation Strategy, Loyalty Strategy, Product Strategy, Customer Data Platforms, Dashboarding & Measurement, Data Analytics, Data Visualisation, Future Trends, MarTech Consulting, Quantitative Research, ROl Optimisation, Segmentation, Artificial Intelligence, eCommerce & Marketplaces, Mobile App Development, Software Development, Web Development","Alcoholic Beverages, Automotive, Construction, FMCG, Food and Beverage Services, Grocery, Healthcare, Hospitality, Manufacturing, Oil,  Gas,  and Mining, Pharmaceutical, Professional Services, QSR (Quick Service Restaurant), Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism"
Blicx,"Dashboarding & Measurement, Data Analytics, Qualitative Research, Quantitative Research, Research Tools, Segmentation","Automotive, Financial Services, FMCG, Gaming, Technology,  Information and Media, Start-up"
blueegg ,,
Objective Experience,"Experience Strategy, Qualitative Research, Quantitative Research, Research Tools, Service Design, UX / UI Design","Alcoholic Beverages, Financial Services, FMCG, Government, Professional Services, Technology,  Information and Media, Telecommunications, Travel and Tourism, Utilities"
Verve,"Customer Data Platforms, Dashboarding & Measurement, Data Analytics, Data Visualisation, Future Trends, Qualitative Research, Quantitative Research, Research Tools, ROl Optimisation, Segmentation","Alcoholic Beverages, Automotive, Beauty, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Gaming, Government, Grocery, Healthcare, Hospitality, Retail, Technology,  Information and Media, Telecommunications, Travel and Tourism, Utilities"
NMD+,"Business Strategy, Customer Strategy, Digital Strategy, Experience Strategy, Sustainability Strategy, Brand Design, Customer Experience Design, Graphic Design, Proposition Design, Service Design, UX / UI Design, Social Media, Copywriting, Corporate Communications, Change Management, Employee Experience",Financial Services
Cyber-duck,"Product Strategy, Data Analytics, UX & UI Design, Mobile App Development, Software Development, Web Development",B2B
44 Digital,"Digital Strategy, Data Analytics, Qualitative Research, Brand Design, Customer Experience Design, Graphic Design, UX / UI Design, AR / VR, eCommerce & Marketplaces, Web Development, Brand Strategy, Digital Campaign Development, Copywriting, Video Production, Corporate Communications, Change Management, Employee Experience, Internal Communications","Automotive, Construction, Financial Services, Manufacturing, Oil,  Gas,  and Mining, Professional Services, Retail, Transportation,  Logistics,  Supply Chain and Storage, Utilities"
Disrupt ,,
Catch the Sun Communications,"Copywriting, Editing","Administrative and Support Services, Automotive, Construction, Education, Entertainment, Financial Services, Government, Healthcare, Hospitality, Industry Associations, Not-for-Profit, Oil,  Gas,  and Mining, Pharmaceutical, Professional Services, Technology,  Information and Media, Telecommunications, Travel and Tourism"
Beesting Digital,"Digital Strategy, Future Trends, MarTech Consulting, ROl Optimisation, Digital Campaign Development, Copywriting, Internal Communications, Learning & Development, Purpose,  Values & Culture","Financial Services, Healthcare, Manufacturing, Professional Services, Technology,  Information and Media"
Airview Productions,Video Production,Start-up
Hatch Films CIC,"Sustainability Strategy, Advertising, Social Media, Creative Production, Digital Campaign Development, Video Production, Animation, Audio Production, Editing, Graphic Design, Illustration, Motion Graphics, Photography, Production Management, TV Production, Video Production, Corporate Communications, Events, Internal Communications, Recruitment Campaigns","Administrative and Support Services, Financial Services, FMCG, Government, Industry Associations, Not-for-Profit, Professional Services, Technology,  Information and Media"
Nowadays,Video Production,B2B
Studio Yes,Video Production,B2B
InspoHub Ltd,"Creative Production, Video Production, Animation, Editing, Motion Graphics, TV Production, Video Production, Internal Communications","Automotive, Entertainment, Financial Services, Gaming, Technology,  Information and Media"
Bearjam,"Advertising, Creative Production, Video Production, Animation, Audio Production, Editing, Graphic Design, Illustration, Motion Graphics, Photography, Production Management, TV Production, Video Production","Alcoholic Beverages, Automotive, Beauty, Construction, Entertainment, Financial Services, FMCG, Food and Beverage Services, Healthcare, Hospitality, Pharmaceutical, Professional Services, QSR (Quick Service Restaurant), Real Estate, Technology,  Information and Media, Travel and Tourism"
Nusa Film ,,
Tinker Taylor,,
Videomachine Limited,"Video Production, Animation, Audio Production, Editing, Motion Graphics, Photography, Video Production","Alcoholic Beverages, Automotive, Construction, Financial Services, Food and Beverage Services, Hospitality, Manufacturing, Not-for-Profit, Pharmaceutical, Professional Services, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Utilities, Start-up"
Viewpoint Studios,"Brand Design, Customer Experience Design, Graphic Design, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Animation, Audio Production, Editing, Graphic Design, Illustration, Motion Graphics, Photography, Production Management, TV Production, Video Production, Corporate Communications, Digital Performance Marketing, Events, Media Strategy & Planning, Social & Influencer Marketing, Employee Experience, Internal Communications, Learning & Development, Recruitment Campaigns","Alcoholic Beverages, Automotive, Beauty, Construction, Education, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Healthcare, Hospitality, Manufacturing, Oil,  Gas,  and Mining, Pharmaceutical, Professional Services, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Start-up"
Fun Agency Ltd,"Brand Design, Graphic Design, Proposition Design, Advertising, Brand Strategy","Alcoholic Beverages, FMCG, Food and Beverage Services, Start-up"
Reed Words,"Brand Strategy, Copywriting, Corporate Communications, EVP / Employer Branding, Internal Communications, Purpose,  Values & Culture","Administrative and Support Services, Alcoholic Beverages, Automotive, Beauty, Construction, Education, Entertainment, Financial Services, FMCG, Food and Beverage Services, Grocery, Healthcare, Hospitality, Industry Associations, Not-for-Profit, Pharmaceutical, Professional Services, QSR (Quick Service Restaurant), Real Estate, Retail, Technology,  Information and Media, Telecommunications, Travel and Tourism, Utilities, Scale-up, Start-up"
Shoreditch Design Studio,"Brand Design, UX & UI Design, Mobile App Development, Brand Strategy, Video Production",B2B
Studio Something,"Brand Design, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Experiential Marketing, Internal Communications","Alcoholic Beverages, Education, Entertainment, FMCG, Food and Beverage Services, Gaming, Government, Grocery, Manufacturing, Not-for-Profit, Scale-up"
The Builders Arms Ltd,"Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production","Alcoholic Beverages, Beauty, Financial Services, FMCG, Gaming, Technology,  Information and Media, Scale-up, Start-up"
Studiomade,"Business Strategy, Data Strategy, Digital Strategy, Experience Strategy, New Venture Strategy, Product Strategy, Data Visualisation, Brand Design, Customer Experience Design, Graphic Design, Proposition Design, UX / UI Design, CMS / DXP, CRM Implementation, eCommerce & Marketplaces, Mobile App Development, Software Development, Web Development, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Corporate Communications, Events, Experiential Marketing, Shopper / PoS marketing, Social & Influencer Marketing, Change Management, Employee Experience, EVP / Employer Branding, Internal Communications, Purpose,  Values & Culture","Financial Services, FMCG, Government, Healthcare, Not-for-Profit, Oil,  Gas,  and Mining, Pharmaceutical, Professional Services, Retail, Technology,  Information and Media, Scale-up, Start-up"
Common Ground,"Brand Strategy, Creative Production, Video Production, Social & Influencer Marketing",B2B
2050London,"Brand Design, Graphic Design, Proposition Design, Advertising, Brand Strategy, Social Media, Creative Production, Copywriting, Video Production, Purpose,  Values & Culture","Alcoholic Beverages, Automotive, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Gaming, Government, Grocery, Healthcare, Not-for-Profit, Professional Services, Retail, Technology,  Information and Media, Telecommunications, Scale-up, Start-up"
Taxi Studio,"Brand Design, Brand Strategy, Creative Production",B2B
G-W,"Experience Strategy, New Venture Strategy, Product Strategy, Future Trends, Qualitative Research, Quantitative Research, Brand Design, Customer Experience Design, UX / UI Design, eCommerce & Marketplaces, Software Development, Web Development, Brand Strategy, Creative Production, Copywriting, SEO / SEM, Purpose,  Values & Culture","Automotive, Construction, Fashion, Financial Services, Grocery, Professional Services, Travel and Tourism, Scale-up"
Notepad Studio,"Business Strategy, CRM Strategy, Customer Strategy, Sustainability Strategy, Dashboarding & Measurement, Qualitative Research, Quantitative Research, Research Tools, Segmentation, Brand Design, Graphic Design, UX / UI Design, Web Development, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Corporate Communications, Events, Experiential Marketing, Media Buying, Media Strategy & Planning, PR, Employee Experience, EVP / Employer Branding, Internal Communications, Learning & Development, Purpose,  Values & Culture, Recruitment Campaigns","Construction, Education, FMCG, Gaming, Hospitality, Not-for-Profit, Professional Services, Real Estate, Technology,  Information and Media, Transportation,  Logistics,  Supply Chain and Storage, Scale-up, Start-up"
S+Co,"Spatial Design, Brand Strategy, Creative Production",B2B
Daughter Studio,"Business Strategy, Customer Strategy, Qualitative Research, Brand Design, Graphic Design, Proposition Design, UX / UI Design, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Corporate Communications, PR, Shopper / PoS marketing, Internal Communications, Purpose,  Values & Culture, Recruitment Campaigns","Alcoholic Beverages, Automotive, Beauty, Education, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Government, Grocery, Hospitality, Industry Associations, Manufacturing, Not-for-Profit, Professional Services, Technology,  Information and Media, Travel and Tourism, Utilities, Scale-up, Start-up"
LUX,"Brand Design, Brand Strategy, Copywriting, Creative Production, Social Media, Experiential Marketing, Shopper / PoS Marketing",B2B
The Ninety Niners,,
Frontier,"Customer Strategy, Digital Strategy, Growth & Innovation Strategy, Product Strategy, Sustainability Strategy, Brand Strategy, Graphic Design, Employee Experience, EVP / Employer Branding, Purpose,  Values & Culture","Beauty, FMCG, Food and Beverage Services, Not-for-Profit, Professional Services, QSR (Quick Service Restaurant), Retail, Scale-up"
Ollie & Co,"Brand Design, Graphic Design, eCommerce & Marketplaces, Web Development, Brand Strategy, Creative Production, Digital Campaign Development","Beauty, Fashion, FMCG, Food and Beverage Services, Hospitality, Pharmaceutical, Retail, Technology,  Information and Media, Scale-up, Start-up"
JOY,"Customer Strategy, Brand Design, Graphic Design, UX & UI Design, Advertising, Brand Strategy, Copywriting, Creative Production, Digital Campaign Development, Social Media, Video Production, Digital Performance Marketing, Media Buying, Media Strategy & Planning, SEO / SEM, Social & Influencer Marketing, Change Management, Employee Experience, EVP / Employer Branding, Internal Communications, Purpose, Values & Culture, Purpose, Values & Culture",B2B
Quicksand Design Studio,"Business Strategy, Customer Strategy, Digital Strategy, Experience Strategy, Growth & Innovation Strategy, New Venture Strategy, Product Strategy, Data Visualisation, Future Trends, Qualitative Research, Research Tools, Segmentation, Customer Experience Design, Graphic Design, Proposition Design, Service Design, UX / UI Design, AR / VR, Mobile App Development, Software Development, Web Development, Creative Production, Video Production, Employee Experience","Alcoholic Beverages, Education, Financial Services, FMCG, Food and Beverage Services, Gaming, Government, Healthcare, Not-for-Profit, QSR (Quick Service Restaurant), Retail, Technology,  Information and Media, Transportation,  Logistics,  Supply Chain and Storage, Scale-up, Start-up"
Apex1,"Business Strategy, CRM Strategy, Customer Strategy, Data Strategy, Digital Strategy, Experience Strategy, Growth & Innovation Strategy, Loyalty Strategy, New Venture Strategy, Product Strategy, Sustainability Strategy, Brand Design, Customer Experience Design, Graphic Design, Proposition Design, UX / UI Design, eCommerce & Marketplaces, Mobile App Development, Software Development, Web Development, Brand Strategy, Social Media, Digital Campaign Development, Copywriting, Video Production, Corporate Communications, Digital Performance Marketing, PR, SEO / SEM","Administrative and Support Services, Automotive, Beauty, Construction, Education, Entertainment, Fashion, Financial Services, Industry Associations, Manufacturing, Professional Services, Real Estate, Retail, Technology,  Information and Media, Utilities, Scale-up, Start-up"
Secret Source Marketing,"Business Strategy, CRM Strategy, Customer Strategy, Data Strategy, Digital Strategy, Experience Strategy, Growth & Innovation Strategy, Loyalty Strategy, New Venture Strategy, Product Strategy, Sustainability Strategy, Customer Data Platforms, Dashboarding & Measurement, Data Analytics, MarTech Consulting, ROl Optimisation, Segmentation, Brand Design, Customer Experience Design, Graphic Design, UX / UI Design, CMS / DXP, CRM Implementation, MarTech Implementation, Mobile App Development, Web Development, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Digital Performance Marketing, SEO / SEM, Social & Influencer Marketing, Internal Communications","Administrative and Support Services, Construction, Financial Services, Professional Services, Technology,  Information and Media, Transportation,  Logistics,  Supply Chain and Storage, Scale-up, Start-up"
SOLVNT,"Business Strategy, New Venture Strategy, Qualitative Research, Brand Design, Customer Experience Design, Graphic Design, UX / UI Design, Mobile App Development, Web Development, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Events, Social & Influencer Marketing, Purpose,  Values & Culture","Alcoholic Beverages, Beauty, Fashion, Financial Services, Food and Beverage Services, Healthcare, Hospitality, Not-for-Profit, Travel and Tourism"
Three Whiskey,"Digital Strategy, Dashboarding & Measurement, Data Analytics, Data Visualisation, ROl Optimisation, Segmentation, Brand Design, Customer Experience Design, Graphic Design, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Digital Performance Marketing, Media Buying, Media Strategy & Planning, SEO / SEM, Social & Influencer Marketing","Fashion, FMCG, Healthcare, Pharmaceutical, Real Estate"
Dupree International,"Business Strategy, Digital Strategy, Growth & Innovation Strategy, Qualitative Research, Quantitative Research, Brand Design, Graphic Design, Web Development, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Corporate Communications, Digital Performance Marketing, Events, Experiential Marketing, Media Buying, Media Strategy & Planning, PR, SEO / SEM, Social & Influencer Marketing, EVP / Employer Branding, Internal Communications, Purpose,  Values & Culture","Alcoholic Beverages, Automotive, Beauty, Construction, Education, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Gaming, Government, Grocery, Healthcare, Hospitality, Industry Associations, Manufacturing, Not-for-Profit, Oil,  Gas,  and Mining, Pharmaceutical, Professional Services, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Utilities, Scale-up, Start-up"
Blue Feathers,"Business Strategy, CRM Strategy, Customer Strategy, Experience Strategy, Growth & Innovation Strategy, Loyalty Strategy, Product Strategy, Sustainability Strategy, Future Trends, Brand Strategy, Change Management, Employee Experience, EVP / Employer Branding, Internal Communications, Learning & Development, Purpose,  Values & Culture","Alcoholic Beverages, Beauty, Education, Entertainment, Fashion, Financial Services, FMCG, Grocery, Healthcare, Oil,  Gas,  and Mining, Retail, Travel and Tourism, Utilities"
MB&a,"Growth & Innovation Strategy, Product Strategy, Sustainability Strategy, Qualitative Research, Purpose,  Values & Culture","Automotive, Beauty, Fashion, Financial Services, FMCG, Grocery, Healthcare, Manufacturing, Pharmaceutical, Professional Services, Retail"
TheDesignThinkers,"Business Strategy, Customer Strategy, Experience Strategy, Growth & Innovation Strategy, New Venture Strategy, Product Strategy, Brand Design, Customer Experience Design, Graphic Design, Proposition Design, Service Design, Spatial Design, Brand Strategy, Social Media, Copywriting, Corporate Communications, Events, Experiential Marketing, Change Management, Employee Experience, EVP / Employer Branding, Internal Communications, Purpose,  Values & Culture","Automotive, Beauty, Construction, Education, Fashion, Financial Services, Healthcare, Real Estate, Retail, Travel and Tourism"
Manifest Group,"Sustainability Strategy, Future Trends, Qualitative Research, Quantitative Research, Segmentation, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Production Management, Corporate Communications, Events, Experiential Marketing, PR, SEO / SEM, Social & Influencer Marketing, Internal Communications, Learning & Development, Purpose,  Values & Culture","Alcoholic Beverages, Automotive, Beauty, Entertainment, Fashion, Financial Services, FMCG, Gaming, Government, Grocery, Healthcare, Hospitality, Not-for-Profit, Pharmaceutical, Professional Services, QSR (Quick Service Restaurant), Real Estate, Retail, Technology,  Information and Media, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Scale-up, Start-up"
I-AM,"Brand Design, Customer Experience Design, Graphic Design, Proposition Design, Service Design, Spatial Design, UX / UI Design, Brand Strategy, Graphic Design","Education, Financial Services, Food and Beverage Services, Healthcare, Hospitality, Pharmaceutical, QSR (Quick Service Restaurant), Real Estate, Retail, Telecommunications, Scale-up, Start-up"
Ampel,"Business Strategy, Customer Strategy, Digital Strategy, Experience Strategy, Brand Design, Customer Experience Design, Advertising, Brand Strategy, Social Media, Creative Production, Audio Production, Editing, TV Production, Video Production, Corporate Communications, Events, Change Management, Employee Experience, EVP / Employer Branding, Internal Communications, Learning & Development, Purpose,  Values & Culture, Recruitment Campaigns","Healthcare, Pharmaceutical, Technology,  Information and Media"
Sketch & Co,,
Blood Orange Film,"Advertising, Social Media, Creative Production, Video Production, Animation, Editing, Motion Graphics, Video Production","Alcoholic Beverages, Automotive, Beauty, Education, Entertainment, Fashion, Food and Beverage Services, Grocery, Healthcare, Manufacturing, Not-for-Profit, Pharmaceutical, Professional Services, Real Estate, Retail, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Scale-up, Start-up"
Polar Media House,"Graphic Design, Brand Strategy, Social Media, Creative Production, Copywriting, Video Production, Editing, Graphic Design, Photography, Video Production","Fashion, Food and Beverage Services, Start-up"
Mighty Nice,"AR / VR, Creative Production, Digital Campaign Development, Copywriting, Video Production, Animation, Graphic Design, Illustration, Motion Graphics, TV Production, Video Production","Automotive, Education, Entertainment, Financial Services, FMCG, Government, Healthcare, Not-for-Profit, Retail"
Snackable Media,"Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Animation, Audio Production, Editing, Illustration, Motion Graphics, Photography, Production Management, TV Production, Video Production","Alcoholic Beverages, Automotive, Beauty, Fashion, Financial Services, FMCG, Food and Beverage Services, Hospitality, Travel and Tourism, Scale-up"
Brothers & Sisters,"Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production","Automotive, Beauty, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Grocery, Not-for-Profit, Technology,  Information and Media, Telecommunications, Travel and Tourism, Utilities, Scale-up"
SAND visuals,"Creative Production, Video Production, Animation, Editing, Graphic Design, Illustration, Motion Graphics, Production Management, TV Production, Video Production","FMCG, Manufacturing, Retail, Technology,  Information and Media"
Pavilion Works,"Creative Production, Social Media, Video Production",B2B
Orange Panther Collective,"Business Strategy, Digital Strategy, Product Strategy, Qualitative Research, Quantitative Research, Segmentation, Brand Design, Graphic Design, Proposition Design, UX / UI Design, Web Development, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production","Alcoholic Beverages, Beauty, Entertainment, FMCG, Food and Beverage Services, Grocery, QSR (Quick Service Restaurant), Retail, Technology,  Information and Media, Telecommunications, Travel and Tourism, Scale-up, Start-up"
RANKIN CREATIVE,"Business Strategy, Digital Strategy, Growth & Innovation Strategy, Loyalty Strategy, New Venture Strategy, Product Strategy, Sustainability Strategy, Future Trends, Qualitative Research, Research Tools, Segmentation, Brand Design, Customer Experience Design, Graphic Design, Proposition Design, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Audio Production, Editing, Graphic Design, Motion Graphics, Photography, Production Management, TV Production, Video Production, Events, PR, Social & Influencer Marketing, Change Management, Employee Experience, EVP / Employer Branding, Internal Communications, Purpose,  Values & Culture","Administrative and Support Services, Alcoholic Beverages, Automotive, Beauty, Education, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Gaming, Government, Grocery, Healthcare, Hospitality, Industry Associations, Manufacturing, Not-for-Profit, Pharmaceutical, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Utilities, Scale-up, Start-up"
